https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.63711E+12,2021/11/17 00:00,BTC/USDT,60058.87,60215.55,59777,60199.98,464.45894,27849542.16,14899
1.6371E+12,2021/11/16 23:00,BTC/USDT,60568.38,60673.99,60000,60058.87,1065.41727,64295708.4,40400
1.6371E+12,2021/11/16 22:00,BTC/USDT,60453.5,61199.65,60369.15,60569.46,1166.17851,70820855.42,57855
1.6371E+12,2021/11/16 21:00,BTC/USDT,59720.76,60914.81,59645.28,60453.49,2281.36693,137899496.7,74165
1.63709E+12,2021/11/16 20:00,BTC/USDT,60204.47,60292.69,59105.26,59719.92,2721.92255,162267200.2,93274
1.63709E+12,2021/11/16 19:00,BTC/USDT,59900.01,60612.19,59728.27,60204.47,1857.01542,111688186.5,67161
1.63709E+12,2021/11/16 18:00,BTC/USDT,60460,60637,59810,59900.01,1542.50059,92972996.47,62956
1.63708E+12,2021/11/16 17:00,BTC/USDT,60647.89,60784.3,60160.01,60460,1421.27444,85988230.71,52008
1.63708E+12,2021/11/16 16:00,BTC/USDT,60669.15,60923.18,60350.01,60647.89,1742.61945,105669657.5,59444
1.63707E+12,2021/11/16 15:00,BTC/USDT,60902.33,61087.29,60568.95,60669.14,1657.60044,100856965.5,64097
1.63707E+12,2021/11/16 14:00,BTC/USDT,60534.44,61427,60452.09,60903.26,3197.58926,194739484.6,104142
1.63707E+12,2021/11/16 13:00,BTC/USDT,60038.94,60776.04,60031.95,60534.45,1994.34783,120545033.8,73462
1.63706E+12,2021/11/16 12:00,BTC/USDT,60576.76,60883.05,60020,60038.95,2921.50849,176808617.2,100158
1.63706E+12,2021/11/16 11:00,BTC/USDT,60160,60656.95,60011,60574.49,3348.41779,202155346.9,101827
1.63706E+12,2021/11/16 10:00,BTC/USDT,60200,60288.19,58574.07,60160,11141.19679,662472931.9,320139
1.63705E+12,2021/11/16 09:00,BTC/USDT,61000.63,61470.41,60200,60200,4402.28156,266459467.1,101503
1.63705E+12,2021/11/16 08:00,BTC/USDT,60804.07,61062.76,60573.51,61000.63,2092.30543,127304569.8,65129
1.63705E+12,2021/11/16 07:00,BTC/USDT,60830.43,61054.4,60414.08,60805.27,2262.33608,137339976.6,64288
1.63704E+12,2021/11/16 06:00,BTC/USDT,60927.5,60997.98,60293.06,60830.44,2938.99684,178390480,85451
1.63704E+12,2021/11/16 05:00,BTC/USDT,61205.75,61523.55,60742.92,60927.51,3537.29426,215964964.4,78740
1.63704E+12,2021/11/16 04:00,BTC/USDT,60907.4,61600,60322.2,61211.43,4081.02324,248766139.6,110804
1.63703E+12,2021/11/16 03:00,BTC/USDT,61620.62,61806.95,60422.2,60907.41,5486.38687,334978607.2,147334
1.63703E+12,2021/11/16 02:00,BTC/USDT,62110.09,62206.8,61500,61620.62,2064.41123,127848354.6,66164
1.63702E+12,2021/11/16 01:00,BTC/USDT,62540.02,62636.16,60980,62110.1,7766.01382,479981161.4,215222
1.63702E+12,2021/11/16 00:00,BTC/USDT,63606.73,63617.31,62462.91,62540.03,4765.151,299529608.6,147958
1.63702E+12,2021/11/15 23:00,BTC/USDT,63989.24,63998.69,63500,63606.74,893.2224,56950530.07,32759
1.63701E+12,2021/11/15 22:00,BTC/USDT,63880.41,64025.48,63411.38,63989.25,1133.77844,72237121.8,43913
1.63701E+12,2021/11/15 21:00,BTC/USDT,63903.43,64012.29,63400,63878.3,1504.12178,95926409.87,55149
1.63701E+12,2021/11/15 20:00,BTC/USDT,64265.91,64265.91,63766.89,63903.43,1274.25829,81510308.24,44297
1.637E+12,2021/11/15 19:00,BTC/USDT,63812.79,64320.33,63650.54,64265.9,1389.79013,88991105.77,49294
1.637E+12,2021/11/15 18:00,BTC/USDT,64037,64182.25,63624.54,63812.79,1618.35413,103426778.9,57164
1.637E+12,2021/11/15 17:00,BTC/USDT,64273.15,64444.61,64006.34,64036.99,1550.72297,99596502.36,45207
1.63699E+12,2021/11/15 16:00,BTC/USDT,64288.16,64444.18,63900,64275.7,2423.38125,155519592,91363
1.63699E+12,2021/11/15 15:00,BTC/USDT,64851,64899.4,63993.17,64288.16,3983.29447,257112137.7,116533
1.63698E+12,2021/11/15 14:00,BTC/USDT,65489.09,65493.2,64770,64851,2074.83406,135099204,73923
1.63698E+12,2021/11/15 13:00,BTC/USDT,65663.19,65760,65349,65489.09,2098.28965,137650933,53943
