date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-01-01,1609497000000,XAU,LBMA,USD,1891.1,1891.1,0.0,0.0
2021-01-02,1609583400000,XAU,LBMA,USD,1891.1,1891.1,0.0,0.0
2021-01-03,1609669800000,XAU,LBMA,USD,1891.1,1891.1,0.0,0.0
2021-01-04,1609756200000,XAU,LBMA,USD,1930.8,1891.1,39.7,2.0561
2021-01-05,1609842600000,XAU,LBMA,USD,1946.55,1930.8,15.75,0.8091
2021-01-06,1609929000000,XAU,LBMA,USD,1957.2,1946.55,10.65,0.5441
2021-01-07,1610015400000,XAU,LBMA,USD,1911.05,1957.2,-46.15,-2.4149
2021-01-08,1610101800000,XAU,LBMA,USD,1891.3,1911.05,-19.75,-1.0443
2021-01-09,1610188200000,XAU,LBMA,USD,1891.3,1891.3,0.0,0.0
2021-01-10,1610274600000,XAU,LBMA,USD,1891.3,1891.3,0.0,0.0
2021-01-11,1610361000000,XAU,LBMA,USD,1847.8,1891.3,-43.5,-2.3542
2021-01-12,1610447400000,XAU,LBMA,USD,1861.85,1847.8,14.05,0.7546
2021-01-13,1610533800000,XAU,LBMA,USD,1852.4,1861.85,-9.45,-0.5101
2021-01-14,1610620200000,XAU,LBMA,USD,1840.25,1852.4,-12.15,-0.6602
2021-01-15,1610706600000,XAU,LBMA,USD,1853.85,1840.25,13.6,0.7336
2021-01-16,1610793000000,XAU,LBMA,USD,1853.85,1853.85,0.0,0.0
2021-01-17,1610879400000,XAU,LBMA,USD,1853.85,1853.85,0.0,0.0
2021-01-18,1610965800000,XAU,LBMA,USD,1833.95,1853.85,-19.9,-1.0851
2021-01-19,1611052200000,XAU,LBMA,USD,1843.1,1833.95,9.15,0.4964
2021-01-20,1611138600000,XAU,LBMA,USD,1854.6,1843.1,11.5,0.6201
2021-01-21,1611225000000,XAU,LBMA,USD,1867.65,1854.6,13.05,0.6987
2021-01-22,1611311400000,XAU,LBMA,USD,1853.6,1867.65,-14.05,-0.758
2021-01-23,1611397800000,XAU,LBMA,USD,1853.6,1853.6,0.0,0.0
2021-01-24,1611484200000,XAU,LBMA,USD,1853.6,1853.6,0.0,0.0
2021-01-25,1611570600000,XAU,LBMA,USD,1855.6,1853.6,2.0,0.1078
2021-01-26,1611657000000,XAU,LBMA,USD,1853.2,1855.6,-2.4,-0.1295
2021-01-27,1611743400000,XAU,LBMA,USD,1846.4,1853.2,-6.8,-0.3683
2021-01-28,1611829800000,XAU,LBMA,USD,1839.65,1846.4,-6.75,-0.3669
2021-01-29,1611916200000,XAU,LBMA,USD,1852.7,1839.65,13.05,0.7044
2021-01-30,1612002600000,XAU,LBMA,USD,1852.7,1852.7,0.0,0.0
2021-01-31,1612089000000,XAU,LBMA,USD,1852.7,1852.7,0.0,0.0
2021-02-01,1612175400000,XAU,LBMA,USD,1857.8,1852.7,5.1,0.2745
2021-02-02,1612261800000,XAU,LBMA,USD,1847.1,1857.8,-10.7,-0.5793
2021-02-03,1612348200000,XAU,LBMA,USD,1834.7,1847.1,-12.4,-0.6759
2021-02-04,1612434600000,XAU,LBMA,USD,1811.55,1834.7,-23.15,-1.2779
2021-02-05,1612521000000,XAU,LBMA,USD,1808.55,1811.55,-3.0,-0.1659
2021-02-06,1612607400000,XAU,LBMA,USD,1808.55,1808.55,0.0,0.0
2021-02-07,1612693800000,XAU,LBMA,USD,1808.55,1808.55,0.0,0.0
2021-02-08,1612780200000,XAU,LBMA,USD,1811.65,1808.55,3.1,0.1711
2021-02-09,1612866600000,XAU,LBMA,USD,1846.55,1811.65,34.9,1.89
2021-02-10,1612953000000,XAU,LBMA,USD,1843.45,1846.55,-3.1,-0.1682
2021-02-11,1613039400000,XAU,LBMA,USD,1841.7,1843.45,-1.75,-0.095
2021-02-12,1613125800000,XAU,LBMA,USD,1818.0,1841.7,-23.7,-1.3036
2021-02-13,1613212200000,XAU,LBMA,USD,1818.0,1818.0,0.0,0.0
2021-02-14,1613298600000,XAU,LBMA,USD,1818.0,1818.0,0.0,0.0
2021-02-15,1613385000000,XAU,LBMA,USD,1817.45,1818.0,-0.55,-0.0303
2021-02-16,1613471400000,XAU,LBMA,USD,1823.45,1817.45,6.0,0.329
2021-02-17,1613557800000,XAU,LBMA,USD,1788.85,1823.45,-34.6,-1.9342
2021-02-18,1613644200000,XAU,LBMA,USD,1782.8,1788.85,-6.05,-0.3394
2021-02-19,1613730600000,XAU,LBMA,USD,1773.75,1782.8,-9.05,-0.5102
2021-02-20,1613817000000,XAU,LBMA,USD,1773.75,1773.75,0.0,0.0
2021-02-21,1613903400000,XAU,LBMA,USD,1773.75,1773.75,0.0,0.0
2021-02-22,1613989800000,XAU,LBMA,USD,1798.8,1773.75,25.05,1.3926
2021-02-23,1614076200000,XAU,LBMA,USD,1809.5,1798.8,10.7,0.5913
2021-02-24,1614162600000,XAU,LBMA,USD,1807.25,1809.5,-2.25,-0.1245
2021-02-25,1614249000000,XAU,LBMA,USD,1792.1,1807.25,-15.15,-0.8454
2021-02-26,1614335400000,XAU,LBMA,USD,1765.1,1792.1,-27.0,-1.5297
2021-02-27,1614421800000,XAU,LBMA,USD,1765.1,1765.1,0.0,0.0
2021-02-28,1614508200000,XAU,LBMA,USD,1765.1,1765.1,0.0,0.0
2021-03-01,1614594600000,XAU,LBMA,USD,1746.95,1765.1,-18.15,-1.039
2021-03-02,1614681000000,XAU,LBMA,USD,1728.5,1746.95,-18.45,-1.0674
2021-03-03,1614767400000,XAU,LBMA,USD,1727.05,1728.5,-1.45,-0.084
2021-03-04,1614853800000,XAU,LBMA,USD,1710.05,1727.05,-17.0,-0.9941
2021-03-05,1614940200000,XAU,LBMA,USD,1696.05,1710.05,-14.0,-0.8254
2021-03-06,1615026600000,XAU,LBMA,USD,1696.05,1696.05,0.0,0.0
2021-03-07,1615113000000,XAU,LBMA,USD,1696.05,1696.05,0.0,0.0
2021-03-08,1615199400000,XAU,LBMA,USD,1694.45,1696.05,-1.6,-0.0944
2021-03-09,1615285800000,XAU,LBMA,USD,1702.85,1694.45,8.4,0.4933
2021-03-10,1615372200000,XAU,LBMA,USD,1711.5,1702.85,8.65,0.5054
2021-03-11,1615458600000,XAU,LBMA,USD,1736.35,1711.5,24.85,1.4312
2021-03-12,1615545000000,XAU,LBMA,USD,1703.85,1736.35,-32.5,-1.9074
2021-03-13,1615631400000,XAU,LBMA,USD,1703.85,1703.85,0.0,0.0
2021-03-14,1615717800000,XAU,LBMA,USD,1703.85,1703.85,0.0,0.0
2021-03-15,1615804200000,XAU,LBMA,USD,1727.9,1703.85,24.05,1.3919
2021-03-16,1615890600000,XAU,LBMA,USD,1732.3,1727.9,4.4,0.254
2021-03-17,1615977000000,XAU,LBMA,USD,1736.95,1732.3,4.65,0.2677
2021-03-18,1616063400000,XAU,LBMA,USD,1734.1,1736.95,-2.85,-0.1644
2021-03-19,1616149800000,XAU,LBMA,USD,1737.2,1734.1,3.1,0.1784
2021-03-20,1616236200000,XAU,LBMA,USD,1737.2,1737.2,0.0,0.0
2021-03-21,1616322600000,XAU,LBMA,USD,1737.2,1737.2,0.0,0.0
2021-03-22,1616409000000,XAU,LBMA,USD,1733.4,1737.2,-3.8,-0.2192
2021-03-23,1616495400000,XAU,LBMA,USD,1739.25,1733.4,5.85,0.3364
2021-03-24,1616581800000,XAU,LBMA,USD,1734.05,1739.25,-5.2,-0.2999
2021-03-25,1616668200000,XAU,LBMA,USD,1729.2,1734.05,-4.85,-0.2805
2021-03-26,1616754600000,XAU,LBMA,USD,1727.85,1729.2,-1.35,-0.0781
2021-03-27,1616841000000,XAU,LBMA,USD,1727.85,1727.85,0.0,0.0
2021-03-28,1616923800000,XAU,LBMA,USD,1727.85,1727.85,0.0,0.0
2021-03-29,1617010200000,XAU,LBMA,USD,1723.95,1727.85,-3.9,-0.2262
2021-03-30,1617096600000,XAU,LBMA,USD,1696.7,1723.95,-27.25,-1.6061
2021-03-31,1617183000000,XAU,LBMA,USD,1685.35,1696.7,-11.35,-0.6735
2021-04-01,1617269400000,XAU,LBMA,USD,1715.85,1685.35,30.5,1.7775
2021-04-02,1617355800000,XAU,LBMA,USD,1715.85,1715.85,0.0,0.0
2021-04-03,1617442200000,XAU,LBMA,USD,1715.85,1715.85,0.0,0.0
2021-04-04,1617528600000,XAU,LBMA,USD,1715.85,1715.85,0.0,0.0
2021-04-05,1617615000000,XAU,LBMA,USD,1715.85,1715.85,0.0,0.0
2021-04-06,1617701400000,XAU,LBMA,USD,1731.05,1715.85,15.2,0.8781
2021-04-07,1617787800000,XAU,LBMA,USD,1736.0,1731.05,4.95,0.2851
2021-04-08,1617874200000,XAU,LBMA,USD,1743.7,1736.0,7.7,0.4416
2021-04-09,1617960600000,XAU,LBMA,USD,1747.95,1743.7,4.25,0.2431
2021-04-10,1618047000000,XAU,LBMA,USD,1747.95,1747.95,0.0,0.0
2021-04-11,1618133400000,XAU,LBMA,USD,1747.95,1747.95,0.0,0.0
2021-04-12,1618219800000,XAU,LBMA,USD,1741.55,1747.95,-6.4,-0.3675
2021-04-13,1618306200000,XAU,LBMA,USD,1728.1,1741.55,-13.45,-0.7783
2021-04-14,1618392600000,XAU,LBMA,USD,1743.3,1728.1,15.2,0.8719
2021-04-15,1618479000000,XAU,LBMA,USD,1748.0,1743.3,4.7,0.2689
2021-04-16,1618565400000,XAU,LBMA,USD,1766.45,1748.0,18.45,1.0445
2021-04-17,1618651800000,XAU,LBMA,USD,1766.45,1766.45,0.0,0.0
2021-04-18,1618738200000,XAU,LBMA,USD,1766.45,1766.45,0.0,0.0
2021-04-19,1618824600000,XAU,LBMA,USD,1788.4,1766.45,21.95,1.2274
2021-04-20,1618911000000,XAU,LBMA,USD,1765.5,1788.4,-22.9,-1.2971
2021-04-21,1618997400000,XAU,LBMA,USD,1781.05,1765.5,15.55,0.8731
2021-04-22,1619083800000,XAU,LBMA,USD,1785.65,1781.05,4.6,0.2576
2021-04-23,1619170200000,XAU,LBMA,USD,1785.3,1785.65,-0.35,-0.0196
