date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-10-31,1635676200000,XAU,LBMA,USD,1796.3,1796.3,0.0,0.0
2021-11-01,1635762600000,XAU,LBMA,USD,1786.55,1796.3,-9.75,-0.5457
2021-11-02,1635849000000,XAU,LBMA,USD,1791.5,1786.55,4.95,0.2763
2021-11-03,1635935400000,XAU,LBMA,USD,1781.85,1791.5,-9.65,-0.5416
2021-11-04,1636021800000,XAU,LBMA,USD,1778.1,1781.85,-3.75,-0.2109
2021-11-05,1636108200000,XAU,LBMA,USD,1793.2,1778.1,15.1,0.8421
2021-11-06,1636194600000,XAU,LBMA,USD,1793.2,1793.2,0.0,0.0
2021-11-07,1636281000000,XAU,LBMA,USD,1793.2,1793.2,0.0,0.0
2021-11-08,1636367400000,XAU,LBMA,USD,1818.0,1793.2,24.8,1.3641
2021-11-09,1636453800000,XAU,LBMA,USD,1824.4,1818.0,6.4,0.3508
2021-11-10,1636540200000,XAU,LBMA,USD,1824.95,1824.4,0.55,0.0301
2021-11-11,1636626600000,XAU,LBMA,USD,1859.25,1824.95,34.3,1.8448
2021-11-12,1636713000000,XAU,LBMA,USD,1850.0,1859.25,-9.25,-0.5
2021-11-13,1636799400000,XAU,LBMA,USD,1850.0,1850.0,0.0,0.0
2021-11-14,1636885800000,XAU,LBMA,USD,1850.0,1850.0,0.0,0.0
2021-11-15,1636972200000,XAU,LBMA,USD,1863.8,1850.0,13.8,0.7404
2021-11-16,1637058600000,XAU,LBMA,USD,1872.25,1863.8,8.45,0.4513
2021-11-17,1637145000000,XAU,LBMA,USD,1858.45,1872.25,-13.8,-0.7426
2021-11-18,1637231400000,XAU,LBMA,USD,1860.5,1858.45,2.05,0.1102
2021-11-19,1637317800000,XAU,LBMA,USD,1861.4,1860.5,0.9,0.0484
2021-11-20,1637404200000,XAU,LBMA,USD,1861.4,1861.4,0.0,0.0
2021-11-21,1637490600000,XAU,LBMA,USD,1861.4,1861.4,0.0,0.0
2021-11-22,1637577000000,XAU,LBMA,USD,1841.1,1861.4,-20.3,-1.1026
2021-11-23,1637663400000,XAU,LBMA,USD,1797.3,1841.1,-43.8,-2.437
2021-11-24,1637749800000,XAU,LBMA,USD,1790.8,1797.3,-6.5,-0.363
2021-11-25,1637836200000,XAU,LBMA,USD,1790.65,1790.8,-0.15,-0.0084
2021-11-26,1637922600000,XAU,LBMA,USD,1809.8,1790.65,19.15,1.0581
2021-11-27,1638009000000,XAU,LBMA,USD,1809.8,1809.8,0.0,0.0
2021-11-28,1638095400000,XAU,LBMA,USD,1809.8,1809.8,0.0,0.0
2021-11-29,1638181800000,XAU,LBMA,USD,1795.0,1809.8,-14.8,-0.8245
2021-11-30,1638268200000,XAU,LBMA,USD,1797.6,1795.0,2.6,0.1446
2021-12-01,1638354600000,XAU,LBMA,USD,1786.8,1797.6,-10.8,-0.6044
2021-12-02,1638441000000,XAU,LBMA,USD,1775.7,1786.8,-11.1,-0.6251
2021-12-03,1638527400000,XAU,LBMA,USD,1773.5,1775.7,-2.2,-0.124
2021-12-04,1638613800000,XAU,LBMA,USD,1773.5,1773.5,0.0,0.0
2021-12-05,1638700200000,XAU,LBMA,USD,1773.5,1773.5,0.0,0.0
2021-12-06,1638786600000,XAU,LBMA,USD,1781.25,1773.5,7.75,0.4351
2021-12-07,1638873000000,XAU,LBMA,USD,1779.65,1781.25,-1.6,-0.0899
2021-12-08,1638959400000,XAU,LBMA,USD,1789.8,1779.65,10.15,0.5671
2021-12-09,1639045800000,XAU,LBMA,USD,1783.4,1789.8,-6.4,-0.3589
2021-12-10,1639132200000,XAU,LBMA,USD,1771.9,1783.4,-11.5,-0.649
2021-12-11,1639218600000,XAU,LBMA,USD,1771.9,1771.9,0.0,0.0
2021-12-12,1639305000000,XAU,LBMA,USD,1771.9,1771.9,0.0,0.0
2021-12-13,1639391400000,XAU,LBMA,USD,1784.45,1771.9,12.55,0.7033
2021-12-14,1639477800000,XAU,LBMA,USD,1782.35,1784.45,-2.1,-0.1178
2021-12-15,1639564200000,XAU,LBMA,USD,1769.4,1782.35,-12.95,-0.7319
2021-12-16,1639650600000,XAU,LBMA,USD,1785.15,1769.4,15.75,0.8823
2021-12-17,1639737000000,XAU,LBMA,USD,1807.5,1785.15,22.35,1.2365
2021-12-18,1639823400000,XAU,LBMA,USD,1807.5,1807.5,0.0,0.0
2021-12-19,1639909800000,XAU,LBMA,USD,1807.5,1807.5,0.0,0.0
2021-12-20,1639996200000,XAU,LBMA,USD,1797.4,1807.5,-10.1,-0.5619
2021-12-21,1640082600000,XAU,LBMA,USD,1795.85,1797.4,-1.55,-0.0863
2021-12-22,1640169000000,XAU,LBMA,USD,1789.9,1795.85,-5.95,-0.3324
2021-12-23,1640255400000,XAU,LBMA,USD,1805.55,1789.9,15.65,0.8668
2021-12-24,1640341800000,XAU,LBMA,USD,1805.55,1805.55,0.0,0.0
2021-12-25,1640428200000,XAU,LBMA,USD,1805.55,1805.55,0.0,0.0
2021-12-26,1640514600000,XAU,LBMA,USD,1805.55,1805.55,0.0,0.0
2021-12-27,1640601000000,XAU,LBMA,USD,1805.55,1805.55,0.0,0.0
2021-12-28,1640687400000,XAU,LBMA,USD,1805.55,1805.55,0.0,0.0
2021-12-29,1640773800000,XAU,LBMA,USD,1796.35,1805.55,-9.2,-0.5121
