pubDateTime,title
2021-12-08 13:45:00,比特幣投資巨頭：抵押債券市場是龐氏騙局
2021-12-07 15:48:00,財顧策略師：加密貨幣為史上最大泡沫之一
2021-12-06 10:18:00,比特幣雪崩式下跌後回穩 在4.9萬美元盤整
2021-12-04 18:25:00,郭台銘：加密貨幣不是議題  元宇宙還要「5到10年」
2021-12-04 14:56:00,加密貨幣大跳水  比特幣1小時暴跌近1萬美元
2021-11-27 07:26:00,新變種病毒重創各市場 油價暴跌13％、比特幣入熊市
2021-11-23 15:44:00,IMF：比特幣波動大 不應列為法定貨幣
2021-11-19 19:00:00,印度擬嚴控加密貨幣交易 未經批准不得持有
2021-11-17 15:24:00,英央行副總裁警告：比特幣越來越對金融穩定構成風險
2021-11-16 15:24:00,中國發改委再出手整頓挖礦 加密貨幣全線下跌
2021-11-14 20:53:00,受賄百億比特幣  德企不爽舉報  江西高官挖礦被抓
2021-11-14 19:57:00,中國高官包庇挖礦、錢色交易遭雙開  傳收賄價值逾96億比特幣！
2021-11-12 19:20:00,全球最大穆斯林國家印尼  依伊斯蘭教法禁加密貨幣
2021-11-10 10:53:00,加密貨幣創高價！挖礦概念股微星、威盛漲聲響起
2021-11-10 07:06:00,不止馬斯克有興趣！ 庫克坦言持有虛擬貨幣
2021-11-09 11:47:00,再創歷史新高 比特幣衝破6.7萬美元
2021-11-09 11:32:00,衝破6萬7000美元 比特幣再創歷史新高價
2021-11-09 11:01:00,投資比特幣「穩賺不賠」？61歲男按下連結網址被詐200萬元
2021-11-05 14:25:00,紐約新市長上任 前3筆薪水將以比特幣支付
2021-11-03 15:47:00,邁阿密市長蘇亞雷斯：將用比特幣領下次薪水
2021-11-03 15:28:00,以太幣飆破4600美元 創歷史新高
2021-11-02 14:07:00,規範穩定幣數位貨幣 美擬採銀行式監管
2021-11-01 14:18:00,中國權貴操縱比特幣漲跌？黃天牧：投資人須自己承擔風險
2021-10-29 18:15:00,楊金龍：比特幣僅1％用於支付 近9成用於投機或投資
2021-10-28 10:41:00,逢低加倉！薩爾瓦多再買420枚比特幣
2021-10-25 15:31:00,柴犬幣月漲435％ 躍升第3大交易量加密貨幣
2021-10-22 16:01:00,幣安美國出包 比特幣一度暴跌87％到8200美元
2021-10-22 15:12:00,比特幣ATM 進軍美國沃爾瑪商店
2021-10-22 12:43:00,比特幣創辦人行蹤成謎 矽谷大老：我可能知道中本聰在哪
2021-10-21 15:32:00,比特幣帶頭衝高 加密貨幣總市值漲破2.7兆美元
2021-10-21 10:50:00,比特幣漲至近67000美元 突破歷史新高價
2021-10-20 23:59:00,超越6.66萬美元！比特幣創新天價 加密貨幣漲聲響起
2021-10-20 12:55:00,古根漢投資長：70％的加密貨幣都是「垃圾」
2021-10-20 12:30:00,BITO上市首日超夯 成交量創歷史次高紀錄
2021-10-19 14:46:00,曾預測比特幣達60萬美元 古根漢投資長不玩了
2021-10-19 10:37:00,首檔ETF將開始交易 比特幣朝史高挺進
2021-10-18 16:14:00,首檔ETF有望獲准 比特幣重返6.2萬美元
2021-10-16 10:03:00,分析師：估比特幣10萬美元可能還太保守
2021-10-15 21:59:00,特斯拉投資比特幣 賺進280億元
2021-10-15 20:24:00,ETF可望獲准 比特幣邁向6萬美元
2021-10-13 18:48:00,美取代中國 成為比特幣最大礦工
2021-10-12 09:48:00,比特幣飆破5.7萬美元 小摩CEO仍稱：比特幣「一文不值」
2021-10-11 00:00:00,〈財經週報-熱門族群〉比特幣回神 板卡族群來電
2021-10-10 15:09:00,加密幣礦商Powercrypto 在香港啟動挖礦
2021-10-09 16:21:00,黃金式微！小摩：比特幣成為最佳抗通膨工具
2021-10-07 11:54:00,比特幣狂漲 美銀稱「大到無法忽視」
2021-10-07 09:45:00,比特幣強勢回歸 突破5.5萬美元關卡
2021-10-05 16:39:00,談加密貨幣 陳南光：恐淪洗錢工具
2021-10-05 10:04:00,沒有任何價值！小摩CEO：比特幣就像「愚人金」
2021-12-08 17:00:36,水力發電短缺 冰島減供工業用電 拒與新的比特幣礦工簽約
2021-12-08 14:30:29,聖誕節會送什麼禮物？調查：近十分之一美國人選擇加密資產
2021-12-08 11:00:07,Amber Group市場周評211206｜比特幣與以太幣市場洞察、新聞熱點
2021-12-08 09:30:57,調查：十分之一美國人聖誕禮物首選為比特幣，餐桌上論加密勝過政治
2021-12-07 22:30:34,高盛CEO所羅門：本人並不持有比特幣和以太坊
2021-12-07 16:10:03,比特幣所有權官司 Wright免於支付數百億美元賠償金
2021-12-07 14:14:29,市場風險偏好回升 比特幣上漲收復5萬美元關口
2021-12-06 22:56:33,〈美股早盤〉美股漲跌互現 道瓊開高揚逾400點 費半挫近2%
2021-12-06 19:25:15,周末歷經慘烈拋售 比特幣今日再跌4％
2021-12-06 15:30:22,優惠價交易比特幣！Matrixport首創產品「增益買幣」、「增益賣幣」
2021-12-06 13:39:35,加密貨幣情緒轉為極度恐懼 Plan B：當前仍是牛市
2021-12-06 13:00:47,大幅震盪！交易市場高層認為：機構大賣五億美元比特幣所致
2021-12-06 11:22:39,比特幣一度閃崩至4.2萬美元 板卡廠臉綠
2021-12-04 19:00:17,"比特幣一度跌至42,333、市場清算25億美元，後市堅定看多的人怎麼說？"
2021-12-03 18:00:15,學者評薩爾瓦多比特幣債券：IMF已快走到終點、薩國沒什麼好輸的
2021-12-03 11:58:39,前後任SEC主席加密峰會對談，Gary Gensler：區塊鏈已成支付變革催化劑
2021-12-03 11:09:18,美銀：元宇宙是區塊鏈的巨大機遇 將使加密貨幣成主流
2021-12-02 12:30:47,全力衝刺區塊鏈領域，Square更名Block，推特創辦人：經濟賦權初衷不變
2021-12-02 11:30:38,兩年來，加密市場因疫情受到何種 轉變？讓量化機構Alameda執行長幫您整理！
2021-12-02 08:43:39,〈美股熱門股〉莫德納專利戰吞敗仗跌近12% Snowflake營收翻倍漲14%
2021-12-01 16:30:37,比特幣反彈停滯 以太幣加速衝刺突破4700美元
2021-12-01 11:27:51,幣安創辦人趙長鵬身價達900億美元 晉升華人首富
2021-12-01 07:00:32,灰度：SEC一再拒絕現貨比特幣ETF可能違反行政程序法
2021-11-30 19:00:52,首隻比特幣期貨ETF增持CME比特幣1月期貨1109張
2021-11-30 18:30:52,Invesco 放棄在美國尋求基於期貨的比特幣 ETF 後，在歐洲推出比特幣現貨 ETN
2021-11-30 16:34:36,應對通膨飆升 前11個月加密貨幣產品資金流入創新高
2021-11-30 16:00:17,數據：比特幣網路過去一周每1美元的交易費用平均結算9.5萬美元
