pubDateTime,title
2021-12-31 11:39:00,加密資產掀狂潮 路透盤點今年幣圈4大焦點
2021-12-31 09:48:00,微策略再買1914枚比特幣 砸近26億元
2021-12-30 11:39:00,狠甩比特幣！市值老三的幣安幣今年飆漲1300％
2021-12-29 11:22:00,比特幣擴大跌勢 創5月以來最差單月表現
2021-12-27 10:09:00,二手車更好賺？ 專家：上漲速度超越比特幣、美股
2021-12-24 16:20:00,幣圈投資人遭潑冷水 美SEC駁回兩檔比特幣現貨ETF上市申請
2021-12-24 11:53:00,耶誕行情？比特幣近2週來再上5萬美元
2021-12-23 14:53:00,薩爾瓦多再買比特幣 挑選神秘數字進場
2021-12-23 14:12:00,比特幣ATM現身台北街頭 金管會將約詢平台業者瞭解
2021-12-23 12:56:00,自曝擁逾1.7萬枚比特幣  微策略CEO：會漲到600萬美元
2021-12-23 11:08:00,比特幣狂歡結束？專家：明年恐跌至1萬美元
2021-12-22 11:30:00,索尼員工挪用43億公款轉成比特幣 美日聯手追回
2021-12-22 00:00:00,中英對照讀新聞》Modi warns bitcoin could ’spoil’ young Indians 莫迪警告比特幣可能「毀掉」印度年輕人
2021-12-18 16:32:00,墨西哥零售店首創 允許使用比特幣消費
2021-12-18 13:16:00,橋水達里歐：比特幣就像年輕一代的黃金
2021-12-18 10:05:00,微策略CEO開轟：比特幣不需要「股神」的支持
2021-12-18 09:36:00,專家警告：比特幣可能在不久的將來消失
2021-12-17 15:55:00,Kraken執行長：美元明年將崩盤 比特幣也跌破4萬美元
2021-12-15 13:16:00,比特幣續跌？專家：4.2萬美元為支撐點
2021-12-14 12:22:00,10萬美元無望？比特幣已自歷史高點暴跌30％
2021-12-12 16:14:00,驚！ 印度總理莫迪推特被駭 PO文聲稱比特幣已成為法定貨幣
2021-12-11 11:32:00,比特幣陷熊市 5種加密貨幣抗逆勢表現亮眼
2021-12-10 15:34:00,比特幣幾週內再跌20％？專家緊盯3.7萬美元
2021-12-08 13:45:00,比特幣投資巨頭：抵押債券市場是龐氏騙局
2021-12-07 15:48:00,財顧策略師：加密貨幣為史上最大泡沫之一
2021-12-06 10:18:00,比特幣雪崩式下跌後回穩 在4.9萬美元盤整
2021-12-04 18:25:00,郭台銘：加密貨幣不是議題  元宇宙還要「5到10年」
2021-12-04 14:56:00,加密貨幣大跳水  比特幣1小時暴跌近1萬美元
2021-11-27 07:26:00,新變種病毒重創各市場 油價暴跌13％、比特幣入熊市
2021-11-23 15:44:00,IMF：比特幣波動大 不應列為法定貨幣
2021-11-19 19:00:00,印度擬嚴控加密貨幣交易 未經批准不得持有
2021-11-17 15:24:00,英央行副總裁警告：比特幣越來越對金融穩定構成風險
2021-11-16 15:24:00,中國發改委再出手整頓挖礦 加密貨幣全線下跌
2021-11-14 20:53:00,受賄百億比特幣  德企不爽舉報  江西高官挖礦被抓
2021-11-14 19:57:00,中國高官包庇挖礦、錢色交易遭雙開  傳收賄價值逾96億比特幣！
2021-11-12 19:20:00,全球最大穆斯林國家印尼  依伊斯蘭教法禁加密貨幣
2021-11-10 10:53:00,加密貨幣創高價！挖礦概念股微星、威盛漲聲響起
2021-11-10 07:06:00,不止馬斯克有興趣！ 庫克坦言持有虛擬貨幣
2021-11-09 11:47:00,再創歷史新高 比特幣衝破6.7萬美元
2021-11-09 11:32:00,衝破6萬7000美元 比特幣再創歷史新高價
2021-11-09 11:01:00,投資比特幣「穩賺不賠」？61歲男按下連結網址被詐200萬元
2021-11-05 14:25:00,紐約新市長上任 前3筆薪水將以比特幣支付
2021-11-03 15:47:00,邁阿密市長蘇亞雷斯：將用比特幣領下次薪水
2021-11-03 15:28:00,以太幣飆破4600美元 創歷史新高
2021-11-02 14:07:00,規範穩定幣數位貨幣 美擬採銀行式監管
2021-11-01 14:18:00,中國權貴操縱比特幣漲跌？黃天牧：投資人須自己承擔風險
2021-12-31 02:00:09,Bitcoin Treasuries List Claims 59 Companies and a Handful of Countries Hold 1.49 Million...
2021-12-30 20:45:10,"Tesla CEO Elon Musk Praises Dogecoin, Criticizes Bitcoin, Guesses Identity of Satoshi Nakamoto"
2021-12-30 18:00:21,"Microstrategy Buys More Bitcoin, Now Holding 124,391 BTC"
2021-12-30 09:02:26,Close to $50 Million in Bitcoin From 2011 Moved for the First Time in...
2021-12-30 03:30:58,"Over 20,000 Bitcoin ATMs Installed in a Year"
2021-12-29 13:30:05,"As Bitcoin and Ethereum See Sharp Drops, 18 Crypto Assets Captured Double-Digit Gains Last..."
2021-12-28 12:00:47,"Tokenized Bitcoin in Circulation Nears a Half Million BTC, Bitcoin-Pegged Token Value Exceeds $21..."
2021-12-27 21:30:01,"Billionaire Ray Dalio Sees Limitation on Bitcoin’s Price, Doubts BTC Can Reach $1 Million"
2021-12-27 19:00:30,"Mexico’s Third Richest Billionaire’s Advice: Invest in Bitcoin, Stay Away From Dollars, Euros"
2021-12-27 05:30:24,Colombian Real Estate Platform Allows Users to Acquire Property With Bitcoin
2021-12-27 01:15:31,"BTC Proxy Institutional Bitcoin DeFi Bridge to begin (3,3) Rebase Staking Jan 1, 2022"
2021-12-24 22:30:33,Pro-Bitcoin Senator to Introduce Comprehensive Crypto Bill in US
2021-12-23 18:30:49,Microstrategy CEO Foresees Bitcoin’s Price Reaching $6 Million
2021-12-23 13:30:50,"FBI Collaborates With Citibank, Sony, Japanese Authorities to Seize $180 Million in Bitcoin"
2021-12-23 11:30:44,"Bitcoin’s Hashpower Remains High, Up 163% in 5 Months, Foundry USA Commands Top Mining..."
2021-12-23 07:00:02,Report: Illegal Trades Account for Less Than 3% of Total Bitcoin Transactions
2021-12-22 22:00:19,"El Salvador Buys 21 More Bitcoins to Celebrate 21st Day, Year, Century"
2021-12-21 10:00:06,Bitcoin Giveaway: Actress Gwyneth Paltrow Gives Away $500K in BTC for the Holidays
2021-12-21 07:00:50,"Cash2Bitcoin CEO Ayman Rida Explains Why Merchants Set up a Bitcoin ATM, Compliance and..."
2021-12-20 13:30:30,Bitcoin’s Bearish Prices at the End of 2021 Not Much Different Than 8 Previous...
2021-12-20 09:30:20,"Crypto Economy Loses 3% Overnight, Bitcoin Slides Below $46K, Analyst Says ‘Downward Force Still..."
2021-12-20 09:00:20,"Bitcoin.com to Give Away $25,000 In “December to Remember”"
2021-12-19 12:00:01,Hundreds of Millions Worth of ‘Sleeping Bitcoins’ Woke up After BTC’s Mid-November Price High
2021-12-18 18:00:35,Leading Mexican Retailer Grupo Elektra Accepts Bitcoin
2021-12-17 22:00:23,Cornell Professor of Economics: Defi Promise Is Real but Bitcoin May Not Last Much...
2021-12-17 14:00:29,"Canaan Secures Order for 30,000 Bitcoin Mining Rigs From Genesis Digital Assets"
2021-12-16 22:00:42,"Lending Platform Ledn Launching Bitcoin-Backed Mortgage Product, Raises $70 Million"
2021-12-16 14:00:03,"Global Markets, Bitcoin Defy Expectations After Fed’s Hawkish Taper Plan Announcement"
2021-12-16 08:37:17,"Court Decision Voids Crypto Mining Contracts in China, Shuts Down Bitcoin Farms"
2021-12-16 04:30:02,"Ukrainians Offered New Crypto Services, Bitcoin Cards"
2021-12-16 02:30:36,Undefeated Gilberto ‘Zurdo’ Ramirez Heads to the Ring With Bitcoin.com in His Corner
2021-12-15 10:00:36,"Game Developer Moonray PBC Raises $3.5 Million, Aims to Bring NFT and Blockchain Gaming..."
2021-12-14 15:00:13,"Multicoin Capital Exec Says There ‘May Not Be a Crypto Bear Market at All,’..."
2021-12-14 13:00:13,Actress Gwyneth Paltrow Invests in Bitcoin Mining Operation Terawulf
2021-12-13 19:30:45,"Elon Musk Says Bitcoin Suitable for Store of Value, Dogecoin for Transactions as Time..."
2021-12-13 13:30:27,"90% of Bitcoin’s Supply Cap Has Been Issued, Miners Have 119 Years Left to..."
2021-12-13 11:30:02,5 Crypto Exchanges Custody 1.6 Million Bitcoin or Close to 8% of the Capped...
2021-12-12 22:30:43,Analyst Expects US to Embrace Crypto With Proper Regulation in 2022 – Sees ‘Refreshed’...
2021-12-12 14:30:11,Bitcoin Hashrate Hits an All-Time High Suggesting Thousands of Next-Gen Machines Have Joined the...
2021-12-12 12:30:05,"‘There’s More Work to Do’ — 11 Years Ago, Satoshi Nakamoto Sent a Final..."
2021-12-12 10:30:21,"Prime Minister Modi’s Twitter Account Hacked — Tweets Bitcoin Legal Tender in India, Government..."
2021-12-11 19:30:04,"Rich Dad Poor Dad’s Robert Kiyosaki Insists Depression Is Coming – Predicts ‘Gold, Silver,..."
2021-12-11 11:30:18,Miami Mayor Francis Suarez Plans to Take a Fraction of His 401k in Bitcoin
2021-12-11 03:30:25,Bitcoin Mining Company Cleanspark to Kick-Start 20 MW Immersion Cooling Initiative
2021-12-10 09:00:28,Bitcoin.com Wallet Adds Support For Multisig (Shared) Wallets
2021-12-09 23:30:24,"Microstrategy Buys More Bitcoin, Now Holds 122,478 BTC — CEO Says Bitcoin Is Taking..."
2021-12-09 07:00:33,Iceland Refuses to Power New Bitcoin Farms Amid Electricity Shortages
2021-12-08 18:00:04,"Foundry Launches Bitcoin Mining Machine Marketplace, US Pool Becomes the World’s Largest Miner"
2021-12-08 05:00:53,Goldman Sachs CEO David Solomon Believes Blockchain Is More Important Than Bitcoin
2021-12-07 23:30:47,Fundstrat’s Chief Strategist Predicts Bitcoin Still Has ‘Exponential Growth Ahead’
2021-12-07 19:30:33,Billionaire Barry Sternlicht Discusses Bitcoin Price Rising to $1 Million — Calls BTC a...
2021-12-07 15:30:31,"Bitwise CIO Says $100K Bitcoin a Difficult Prediction to Make, Calls Ethereum the..."
2021-12-07 13:30:47,AOC Says She Doesn’t Hold Bitcoin so the Lawmaker ‘Can Do Her Job Ethically’
2021-12-06 17:30:43,"Bitcoin.com’s Crypto Casino Conducts Christmas Raffle with Cash Prizes Worth $10,000"
2021-12-06 11:30:54,"2021’s BTC Obituary List Accelerated This Year, 41 Alleged Bitcoin Deaths Recorded"
2021-12-06 09:32:52,Salvadoran Ecologist Claims Nayib Bukele’s Volcano-Powered Bitcoin Mine Will ‘End in Environmental Disaster’
2021-12-06 09:00:36,Popular BTM Operator Bitcoin of America Wins Silver in 11th Annual Best in Biz...
2021-12-05 22:30:26,El Salvador’s President Tells Peter Schiff Benefit of Switching Gold Reserves to Bitcoin
2021-12-05 10:30:34,"Bitcoin Hashrate Rises Despite Price Drop, Mystery Hashpower Returns"
2021-12-04 12:30:28,Crypto Flash Crash Prompts El Salvador to Buy the Dip — 150 Bitcoins Added...
2021-12-04 09:23:45,"Crypto Economy Loses Billions in Market Downturn, Bitcoin Price Slips More Than 25% in..."
2021-12-04 08:30:17,"Terra Tokenomics Lead to Market Surge, Bitcoin Reserve Hinted"
2021-12-04 04:30:31,"Ethereum Might Dethrone Bitcoin as Best Crypto Store of Value, Study Argues"
2021-12-03 22:30:57,FBI Seizes Bitcoin Worth More Than $2.2 Million From Ransomware Affiliate
2021-12-03 18:30:13,"Elizabeth Warren Queries Bitcoin Mining Operation, US Senator Says Crypto Miners Raise Environmental Concerns"
2021-12-02 18:00:46,Jurors in Billion-Dollar Bitcoin Trial Deadlocked for Days — Hung Jury Could Lead to...
2021-12-02 14:00:16,Monster-Sized Bitcoin Whale Transfers: Blockchain Parser Catches Significant Amounts of ‘Cold BTC’ Moved to...
2021-12-01 10:15:38,Ethereum Market Cap Is Less Than 50% Away From Flipping Bitcoin — ETH Nears...
2021-12-01 07:30:07,Bitcoin.com Unlocks Earn on Crypto
2021-12-01 04:30:02,"2TM, Mercado Bitcoin’s Holding Company, Raises $50.3 Million in Second Closing of Series B..."
2021-11-30 16:30:55,Bitcoin Mining Company Griid Plans for Public Listing on NYSE via SPAC Deal
2021-11-29 18:00:54,"Microstrategy Buys 7,002 More Bitcoins, Growing Crypto Stash to 121,044 BTC"
2021-11-29 14:00:46,Plan B Says Bitcoin Price Still ‘on Track Towards $100K’ Despite Missing November’s Price...
2021-11-29 10:00:08,"Indian Government Answers Questions on Bitcoin Transactions, Karnataka Scam, Legality of Crypto Trading"
2021-11-28 22:00:04,Bank of England Governor Worried About Bitcoin Being Legal Tender in El Salvador
2021-11-28 20:00:37,Rich Dad Poor Dad’s Robert Kiyosaki Says He’s Buying Bitcoin and Ether as Inflation...
2021-11-28 12:00:53,"Report Shows Ethereum, Litecoin, Solana ETPs Outperformed Bitcoin Investment Products in November"
2021-11-27 18:00:01,El Salvador Buys 100 More Bitcoins Amid Crypto Sell-Offs and New Covid-19 Variant Scare
2021-11-27 16:00:54,‘We’ve All Decided Centralized Banking Is Rigged’ — South Park Episode Features a Bitcoin-Only...
2021-11-27 12:00:32,Data Shows a Myriad of Crypto Networks Are More Profitable to Mine Than Bitcoin
2021-11-27 10:00:45,"Bitcoin’s Hashrate Dips, Mining Difficulty Expected to Decrease for First Time Since July"
2021-11-25 22:00:35,Mexico’s Third Richest Man Advises Buy Bitcoin Now — Says US Looking Increasingly Like...
2021-11-25 14:00:43,Jury to Decide Fate of Billion-Dollar Bitcoin Lawsuit Involving Craig Wright
2021-11-25 12:00:59,Bitcoin Dominance Slides Below 40% for First Time in 6 Months
2021-11-24 07:30:19,Major League Soccer Star Kieran Gibbs Reveals Plans to Convert 50% of His Salary...
2021-11-24 03:30:43,"Fold Launches AR Game With Bitcoin Rewards, Firm Partners With Niantic to Forge a..."
2021-11-23 17:30:14,NFL Football Star Odell Beckham Jr Giving Away $1 Million in Bitcoin and Will...
2021-11-23 11:30:39,IMF Warns El Salvador Against Using Bitcoin as Legal Tender After ‘Bitcoin City’ Announcement
2021-11-23 02:30:12,Bitcoin Mining Company Griid Secures $525 Million Credit Facility From Blockchain.com
2021-11-21 22:00:40,Fund Managers Increasingly Prefer Bitcoin Over Gold — Say It’s a Better Store of...
