date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2020-01-01,1577874600000,XAG,LBMA,USD,18.05,18.05,0.0,0.0
2020-01-02,1577961000000,XAG,LBMA,USD,17.93,18.05,-0.12,-0.6693
2020-01-03,1578047400000,XAG,LBMA,USD,18.21,17.93,0.28,1.5376
2020-01-04,1578133800000,XAG,LBMA,USD,18.21,18.21,0.0,0.0
2020-01-05,1578220200000,XAG,LBMA,USD,18.21,18.21,0.0,0.0
2020-01-06,1578306600000,XAG,LBMA,USD,18.44,18.21,0.23,1.2473
2020-01-07,1578393000000,XAG,LBMA,USD,18.15,18.44,-0.29,-1.5978
2020-01-08,1578479400000,XAG,LBMA,USD,18.42,18.15,0.27,1.4658
2020-01-09,1578565800000,XAG,LBMA,USD,17.91,18.42,-0.51,-2.8476
2020-01-10,1578652200000,XAG,LBMA,USD,17.92,17.91,0.01,0.0558
2020-01-11,1578738600000,XAG,LBMA,USD,17.92,17.92,0.0,0.0
2020-01-12,1578825000000,XAG,LBMA,USD,17.92,17.92,0.0,0.0
2020-01-13,1578911400000,XAG,LBMA,USD,17.99,17.92,0.07,0.3891
2020-01-14,1578997800000,XAG,LBMA,USD,17.77,17.99,-0.22,-1.238
2020-01-15,1579084200000,XAG,LBMA,USD,17.85,17.77,0.08,0.4482
2020-01-16,1579170600000,XAG,LBMA,USD,18.01,17.85,0.16,0.8884
2020-01-17,1579257000000,XAG,LBMA,USD,18.06,18.01,0.05,0.2769
2020-01-18,1579343400000,XAG,LBMA,USD,18.06,18.06,0.0,0.0
2020-01-19,1579429800000,XAG,LBMA,USD,18.06,18.06,0.0,0.0
2020-01-20,1579516200000,XAG,LBMA,USD,18.06,18.06,0.0,0.0
2020-01-21,1579602600000,XAG,LBMA,USD,17.99,18.06,-0.07,-0.3891
2020-01-22,1579689000000,XAG,LBMA,USD,17.77,17.99,-0.22,-1.238
2020-01-23,1579775400000,XAG,LBMA,USD,17.6,17.77,-0.17,-0.9659
2020-01-24,1579861800000,XAG,LBMA,USD,17.83,17.6,0.23,1.29
2020-01-25,1579948200000,XAG,LBMA,USD,17.83,17.83,0.0,0.0
2020-01-26,1580034600000,XAG,LBMA,USD,17.83,17.83,0.0,0.0
2020-01-27,1580121000000,XAG,LBMA,USD,18.3,17.83,0.47,2.5683
2020-01-28,1580207400000,XAG,LBMA,USD,17.98,18.3,-0.32,-1.7798
2020-01-29,1580293800000,XAG,LBMA,USD,17.47,17.98,-0.51,-2.9193
2020-01-30,1580380200000,XAG,LBMA,USD,17.73,17.47,0.26,1.4664
2020-01-31,1580466600000,XAG,LBMA,USD,17.89,17.73,0.16,0.8944
2020-02-01,1580553000000,XAG,LBMA,USD,17.89,17.89,0.0,0.0
2020-02-02,1580639400000,XAG,LBMA,USD,17.89,17.89,0.0,0.0
2020-02-03,1580725800000,XAG,LBMA,USD,17.77,17.89,-0.12,-0.6753
2020-02-04,1580812200000,XAG,LBMA,USD,17.73,17.77,-0.04,-0.2256
2020-02-05,1580898600000,XAG,LBMA,USD,17.62,17.73,-0.11,-0.6243
2020-02-06,1580985000000,XAG,LBMA,USD,17.77,17.62,0.15,0.8441
2020-02-07,1581071400000,XAG,LBMA,USD,17.77,17.77,0.0,0.0
2020-02-08,1581157800000,XAG,LBMA,USD,17.77,17.77,0.0,0.0
2020-02-09,1581244200000,XAG,LBMA,USD,17.77,17.77,0.0,0.0
2020-02-10,1581330600000,XAG,LBMA,USD,17.79,17.77,0.02,0.1124
2020-02-11,1581417000000,XAG,LBMA,USD,17.71,17.79,-0.08,-0.4517
2020-02-12,1581503400000,XAG,LBMA,USD,17.56,17.71,-0.15,-0.8542
2020-02-13,1581589800000,XAG,LBMA,USD,17.64,17.56,0.08,0.4535
2020-02-14,1581676200000,XAG,LBMA,USD,17.71,17.64,0.07,0.3953
